iter	RMSE
0	3427.718069
1	3218.371702
2	3028.89168
3	2863.761184
4	2714.841809
5	2583.424785
6	2467.092838
7	2366.1715
8	2275.740781
9	2197.263844
10	2128.945371
11	2071.309347
12	2009.355175
13	1961.468699
14	1915.530883
15	1874.209044
16	1839.805299
17	1811.319625
18	1783.208381
19	1760.620974
20	1735.183668
21	1717.247326
22	1697.777164
23	1680.159473
24	1661.073847
25	1644.234087
26	1630.15689
27	1619.081438
28	1608.575678
29	1599.586075
30	1592.121157
31	1581.745627
32	1572.389474
33	1566.792604
34	1559.519296
35	1553.583983
36	1548.683965
37	1543.735724
38	1539.11041
39	1535.287648
40	1532.007026
41	1528.761581
42	1525.589829
43	1521.445936
44	1517.718425
45	1515.007365
46	1511.772033
47	1509.616056
48	1507.292977
49	1504.272928
50	1502.158413
51	1500.541716
52	1498.071616
53	1495.965137
54	1494.257668
55	1492.383935
56	1490.903212
57	1487.731307
58	1485.83928
59	1484.12461
60	1482.596295
61	1481.744783
62	1480.134009
63	1478.191342
64	1476.618703
65	1474.405749
66	1472.994587
67	1471.064022
68	1468.683859
69	1467.05128
70	1465.905649
71	1464.297771
72	1463.231642
73	1462.095803
74	1461.420386
75	1460.231155
76	1458.9083
77	1457.485908
78	1456.206473
79	1454.886519
80	1454.040316
81	1453.091892
82	1451.596047
83	1450.759127
84	1450.194426
85	1448.849853
86	1447.852507
87	1446.903254
88	1446.18214
89	1445.290478
90	1443.408099
91	1442.42095
92	1441.743311
93	1440.430717
94	1439.270694
95	1437.648823
96	1436.964665
97	1435.893127
98	1435.192654
99	1434.533616
100	1433.25717
101	1432.233224
102	1431.144889
103	1430.085439
104	1429.535155
105	1429.063134
106	1428.109786
107	1427.576654
108	1427.454135
109	1426.522441
110	1425.383549
111	1424.800721
112	1423.408506
113	1422.45862
114	1422.036554
115	1421.365269
116	1419.782555
117	1418.507552
118	1417.543451
119	1416.793817
120	1416.03456
121	1415.369267
122	1414.506553
123	1413.587727
124	1412.964054
125	1411.922743
126	1411.353429
127	1410.531955
128	1409.848018
129	1409.228086
130	1408.563077
131	1408.074865
132	1407.650065
133	1407.357757
134	1406.825279
135	1405.807511
136	1404.809865
137	1404.252038
138	1403.476328
139	1402.942187
140	1402.588669
141	1401.877466
142	1401.462433
143	1400.937739
144	1400.629398
145	1400.394674
146	1399.521639
147	1398.684966
148	1397.772279
149	1397.315739
150	1396.647889
151	1396.493362
152	1395.6367
153	1395.342815
154	1394.965599
155	1393.787489
156	1393.052309
157	1392.447247
158	1391.814908
159	1391.30245
160	1390.777647
161	1390.231121
162	1390.109687
163	1389.828614
164	1389.230743
165	1388.967722
166	1388.023304
167	1387.798671
168	1387.040219
169	1386.551548
170	1385.848238
171	1385.485719
172	1384.941618
173	1384.162437
174	1383.7429
175	1383.133714
176	1382.704449
177	1382.006965
178	1381.834678
179	1381.442352
180	1380.817106
181	1379.908026
182	1379.497831
183	1379.306801
184	1378.873232
185	1378.243975
186	1377.840399
187	1377.069001
188	1376.796285
189	1376.422606
190	1376.02184
191	1375.884162
192	1375.665729
193	1375.38963
194	1374.858538
195	1374.454348
196	1374.083939
197	1373.853807
198	1373.49559
199	1372.93647
200	1372.756295
201	1372.404811
202	1371.890846
203	1371.2906
204	1370.881563
205	1370.525641
206	1370.339926
207	1370.072157
208	1369.759777
209	1369.283483
210	1369.127079
211	1368.71537
212	1368.513349
213	1368.38215
214	1368.207922
215	1367.833265
216	1367.689417
217	1367.566567
218	1366.950716
219	1366.706296
220	1366.481548
221	1366.227793
222	1365.870768
223	1365.445494
224	1364.946855
225	1364.635838
226	1364.198465
227	1363.773573
228	1363.331562
229	1363.109756
230	1362.920248
231	1362.629935
232	1362.475285
233	1362.351494
234	1362.036046
235	1361.78495
236	1361.762764
237	1361.674062
238	1361.291424
239	1360.922563
240	1360.450685
241	1359.979246
242	1359.834883
243	1359.475285
244	1359.212326
245	1359.046353
246	1358.77192
247	1358.494508
248	1358.322606
249	1358.12762
250	1358.019576
251	1357.688158
252	1357.504063
253	1357.133922
254	1356.846566
255	1356.489287
256	1356.103322
257	1355.870793
258	1355.616704
259	1355.419748
260	1355.092158
261	1354.822081
262	1354.543864
263	1354.390495
264	1353.966126
265	1353.936211
266	1353.539238
267	1353.455763
268	1353.302604
269	1353.154663
270	1352.711236
271	1352.522401
272	1352.130191
273	1351.820868
274	1351.240959
275	1351.059934
276	1350.618832
277	1350.479856
278	1350.294239
279	1350.151033
280	1349.909871
281	1349.746747
282	1349.593667
283	1349.160779
284	1348.979253
285	1348.891326
286	1348.648587
287	1348.349226
288	1348.096081
289	1347.739238
290	1347.560649
291	1347.498981
292	1347.222266
293	1346.985823
294	1346.747438
295	1346.397872
296	1346.201706
297	1345.862258
298	1345.673497
299	1345.138281
300	1344.840474
301	1344.661437
302	1344.415718
303	1344.103527
304	1343.590525
305	1343.243639
306	1343.103258
307	1342.799934
308	1342.514363
309	1342.401342
310	1342.185216
311	1341.966229
312	1341.745223
313	1341.525528
314	1341.287216
315	1341.180007
316	1340.866838
317	1340.601603
318	1340.425518
319	1340.221919
320	1340.103116
321	1339.841937
322	1339.374249
323	1339.166017
324	1338.690852
325	1338.459994
326	1338.38222
327	1338.276791
328	1337.995636
329	1337.621724
330	1337.436686
331	1337.079116
332	1336.94413
333	1336.790102
334	1336.457441
335	1336.354853
336	1336.234642
337	1336.116159
338	1336.003607
339	1335.837232
340	1335.782928
341	1335.719756
342	1335.494672
343	1335.115578
344	1334.95818
345	1334.844301
346	1334.708085
347	1334.601726
348	1334.197597
349	1334.00398
350	1333.78411
351	1333.681748
352	1333.632133
353	1333.396044
354	1333.208673
355	1332.93253
356	1332.823204
357	1332.541187
358	1332.34173
359	1332.167261
360	1331.798796
361	1331.470779
362	1331.290714
363	1331.06261
364	1330.759203
365	1330.461831
366	1330.234664
367	1329.868211
368	1329.491968
369	1329.300009
370	1329.030411
371	1328.887418
