iter	Passed	Remaining
0	31	15887
1	59	14710
2	89	14872
3	132	16403
4	161	16033
5	182	15020
6	202	14269
7	222	13669
8	247	13501
9	269	13193
10	295	13150
11	327	13314
12	352	13187
13	376	13054
14	402	13004
15	430	13018
16	461	13111
17	486	13028
18	514	13027
19	535	12860
20	561	12804
21	590	12828
22	616	12777
23	644	12774
24	668	12706
25	693	12645
26	712	12481
27	733	12358
28	757	12301
29	781	12250
30	812	12299
31	832	12176
32	852	12071
33	878	12044
34	909	12076
35	939	12102
36	965	12085
37	1002	12188
38	1028	12161
39	1073	12344
40	1105	12373
41	1137	12407
42	1162	12356
43	1187	12305
44	1226	12400
45	1249	12334
46	1275	12289
47	1298	12229
48	1321	12164
49	1340	12066
50	1363	12005
51	1390	11978
52	1414	11932
53	1440	11901
54	1467	11875
55	1493	11839
56	1519	11810
57	1538	11727
58	1566	11705
59	1590	11661
60	1622	11678
61	1651	11668
62	1682	11668
63	1706	11622
64	1736	11621
65	1762	11592
66	1795	11604
67	1819	11561
68	1838	11482
69	1860	11430
70	1886	11401
71	1910	11359
72	1937	11333
73	1959	11279
74	1986	11258
75	2006	11196
76	2040	11207
77	2069	11195
78	2103	11210
79	2133	11202
80	2157	11161
81	2194	11184
82	2220	11154
83	2275	11269
84	2304	11249
85	2326	11198
86	2354	11178
87	2379	11140
88	2403	11099
89	2428	11064
90	2454	11029
91	2483	11014
92	2512	10993
93	2545	10992
94	2570	10956
95	2588	10894
96	2623	10899
97	2648	10862
98	2681	10859
99	2705	10820
100	2719	10745
101	2748	10724
102	2770	10677
103	2796	10647
104	2821	10612
105	2850	10596
106	2874	10557
107	2898	10519
108	2928	10503
109	2949	10458
110	2974	10423
111	3001	10396
112	3019	10340
113	3042	10300
114	3068	10271
115	3101	10266
116	3122	10220
117	3144	10179
118	3170	10151
119	3201	10138
120	3224	10100
121	3250	10071
122	3274	10036
123	3301	10010
124	3329	9988
125	3355	9959
126	3381	9930
127	3399	9879
128	3423	9846
129	3453	9829
130	3480	9804
131	3513	9795
132	3537	9762
133	3559	9721
134	3578	9675
135	3603	9645
136	3622	9597
137	3651	9577
138	3676	9547
139	3698	9511
140	3726	9489
141	3747	9447
142	3770	9413
143	3805	9408
144	3835	9391
145	3867	9377
146	3888	9337
147	3916	9313
148	3938	9279
149	3967	9256
150	3994	9232
151	4026	9217
152	4063	9216
153	4096	9204
154	4118	9166
155	4140	9130
156	4167	9104
157	4193	9076
158	4224	9060
159	4245	9021
160	4274	8999
161	4301	8975
162	4329	8950
163	4358	8929
164	4382	8897
165	4412	8878
166	4436	8846
167	4463	8821
168	4492	8799
169	4514	8763
170	4542	8739
171	4579	8732
172	4624	8740
173	4651	8715
174	4678	8688
175	4706	8663
176	4729	8631
177	4755	8602
178	4786	8583
179	4815	8560
180	4832	8516
181	4858	8488
182	4886	8464
183	4910	8434
184	4935	8403
185	4978	8404
186	5006	8380
187	5033	8353
188	5060	8327
189	5095	8312
190	5127	8295
191	5163	8283
192	5207	8283
193	5233	8254
194	5261	8228
195	5295	8213
196	5327	8194
197	5369	8190
198	5396	8162
199	5431	8146
200	5466	8132
201	5500	8113
202	5525	8084
203	5548	8051
204	5571	8016
205	5598	7989
206	5624	7960
207	5647	7927
208	5670	7895
209	5697	7867
210	5720	7835
211	5737	7794
212	5764	7767
213	5780	7725
214	5804	7694
215	5830	7666
216	5853	7633
217	5877	7603
218	5906	7578
219	5926	7542
220	5956	7520
221	5987	7498
222	6009	7465
223	6036	7437
224	6054	7399
225	6082	7374
226	6109	7347
227	6136	7320
228	6165	7296
229	6195	7273
230	6223	7246
231	6244	7213
232	6269	7184
233	6292	7153
234	6318	7125
235	6342	7094
236	6362	7060
237	6388	7033
238	6411	7002
239	6439	6975
240	6463	6946
241	6485	6913
242	6501	6875
243	6525	6846
244	6553	6820
245	6578	6792
246	6599	6759
247	6617	6724
248	6634	6687
249	6664	6664
250	6687	6634
251	6706	6600
252	6722	6563
253	6739	6527
254	6763	6497
255	6779	6461
256	6802	6432
257	6828	6405
258	6848	6372
259	6870	6342
260	6889	6308
261	6910	6277
262	6930	6245
263	6954	6217
264	6974	6184
265	7002	6159
266	7021	6127
267	7045	6098
268	7082	6082
269	7107	6054
270	7127	6022
271	7162	6003
272	7191	5980
273	7217	5953
274	7245	5928
275	7269	5900
276	7293	5871
277	7315	5841
278	7331	5807
279	7356	5780
280	7376	5749
281	7403	5723
282	7423	5692
283	7446	5663
284	7473	5637
285	7488	5603
286	7513	5575
287	7532	5544
288	7549	5511
289	7570	5481
290	7595	5455
291	7621	5429
292	7645	5401
293	7667	5372
294	7695	5347
295	7718	5319
296	7744	5293
297	7766	5264
298	7789	5236
299	7809	5206
300	7833	5178
301	7855	5150
302	7872	5118
303	7891	5087
304	7917	5061
305	7936	5031
306	7966	5008
307	7994	4983
308	8019	4956
309	8043	4930
310	8071	4905
311	8103	4882
312	8133	4859
313	8157	4832
314	8178	4803
315	8205	4777
316	8230	4751
317	8254	4724
318	8276	4695
319	8298	4667
320	8328	4644
321	8349	4615
